Car Make,Car Model,Car Trim,Car Year,Car Mileage,Car Price
Dodge,Challenger,R/T Scat Pack,2017,37K mi,"$33,998*"
BMW,Z4,sDrive30i,2020,39K mi,"$34,998*"
Audi,A5,Premium Plus,2016,47K mi,"$19,998*"
Dodge,Charger,Scat Pack,2021,35K mi,"$38,998*"
Dodge,Challenger,GT,2022,54K mi,"$24,998*"
Chevrolet,Corvette,Stingray Z51,2014,42K mi,"$38,998*"
Ford,Mustang,Ecoboost Premium,2020,51K mi,"$20,998*"
Ford,Mustang,Ecoboost Premium,2022,59K mi,"$23,998*"
Ford,Mustang,Ecoboost Premium,2021,51K mi,"$21,998*"
Chevrolet,Corvette,Stingray,2017,57K mi,"$39,998*"
Dodge,Challenger,R/T,2014,117K mi,"$17,998*"
BMW,Z4,sDrive30i,2020,18K mi,"$33,998*"
Ford,Mustang,Ecoboost Premium,2023,41K mi,"$25,998*"
Scion,FR-S,,2014,89K mi,"$16,998*"
Dodge,Challenger,GT,2020,14K mi,"$27,998*"
Ford,Mustang,Ecoboost Premium,2021,50K mi,"$20,998*"
Chevrolet,Corvette,Stingray,2016,16K mi,"$42,998*"
Chevrolet,Corvette,Stingray 2LT,2020,27K mi,"$62,998*"
Fiat,124,Spider Abarth,2017,19K mi,"$21,998*"
Chevrolet,Corvette,Stingray 1LT,2024,2K mi,"$66,998*"
Chevrolet,Corvette,Stingray 2LT,2022,8K mi,"$69,998*"
Audi,A5,Premium Plus,2018,59K mi,"$20,998*"
Lexus,RC,350,2015,122K mi,"$19,998*"
Ford,Mustang,Ecoboost Premium,2020,48K mi,"$22,998*"
Dodge,Challenger,SXT,2022,49K mi,"$23,998*"
Chevrolet,Camaro,LT1,2021,28K mi,"$37,998*"
Mazda,MX-5,Miata Sport,2020,37K mi,"$22,998*"
Ford,Mustang,Ecoboost Premium,2021,50K mi,"$22,998*"
Toyota,86,,2020,42K mi,"$25,998*"
BMW,Z4,M40I,2023,5K mi,"$61,998*"
Dodge,Challenger,SXT Plus,2017,24K mi,"$23,998*"
Nissan,370Z,Touring,2014,59K mi,"$22,998*"
Porsche,Panamera,,2018,33K mi,"$49,998*"
Mazda,MX-5,Miata Grand Touring,2019,50K mi,"$21,998*"
Jaguar,F-Type,340HP,2019,26K mi,"$36,998*"
Mazda,MX-5,Miata Club,2014,40K mi,"$17,998*"
BMW,M3,,2017,12K mi,"$53,998*"
Dodge,Challenger,SXT,2022,26K mi,"$24,998*"
Jaguar,XE,,2018,43K mi,"$17,998*"
Chevrolet,Camaro,1SS,2022,4K mi,"$42,998*"
Ford,Mustang,Ecoboost Premium,2021,52K mi,"$19,998*"
Audi,e-tron,GT Premium Plus,2023,12K mi,"$65,998*"
Chevrolet,Corvette,Stingray,2019,32K mi,"$46,998*"
Ford,Mustang,Ecoboost Premium,2023,35K mi,"$27,998*"
Genesis,G80,,2017,94K mi,"$18,998*"
Ford,Mustang,Ecoboost Premium,2021,51K mi,"$18,998*"
BMW,M2,Competition,2020,49K mi,"$46,998*"
Mazda,MX-5,Miata RF Grand Touring,2018,13K mi,"$23,998*"
Chevrolet,Corvette,Stingray 3LT,2023,27K mi,"$73,998*"
Chevrolet,Corvette,Z06,2016,1K mi,"$72,998*"
Chevrolet,Corvette,Stingray 3LT,2023,4K mi,"$75,998*"
Dodge,Challenger,SXT,2022,33K mi,"$24,998*"
Acura,TLX,,2018,88K mi,"$19,998*"
Mazda,MX-5,Miata Club,2022,27K mi,"$26,998*"
Toyota,Supra,3.0 Premium,2021,37K mi,"$48,998*"
Nissan,370Z,,2019,45K mi,"$26,998*"
Porsche,Panamera,4S,2018,43K mi,"$55,998*"
Chevrolet,Camaro,LT,2020,51K mi,"$22,998*"
Acura,TLX,SH-AWD A-Spec,2018,104K mi,"$20,998*"
Dodge,Challenger,SXT,2019,39K mi,"$21,998*"
Dodge,Challenger,GT,2022,44K mi,"$25,998*"
Audi,S4,Prestige,2020,23K mi,"$37,998*"
Ford,Mustang,Ecoboost,2020,37K mi,"$23,998*"
Mazda,MX-5,Miata Grand Touring,2020,24K mi,"$24,998*"
Nissan,370Z,,2014,91K mi,"$20,998*"
Mazda,MX-5,Miata Sport,2016,43K mi,"$19,998*"
Mazda,MX-5,Miata Grand Touring,2023,24K mi,"$26,998*"
Ford,Mustang,,2013,116K mi,"$12,599*"
Jaguar,F-Type,340HP,2018,38K mi,"$32,998*"
Mazda,MX-5,Miata Sport,2021,31K mi,"$23,998*"
Subaru,WRX,Limited,2023,6K mi,"$33,998*"
Jaguar,F-Type,First Edition,2021,3K mi,"$47,998*"
Audi,A5,Premium Plus,2018,42K mi,"$23,998*"
Mazda,MX-5,Miata Club,2020,9K mi,"$27,998*"
Chevrolet,Corvette,Stingray,2018,39K mi,"$39,998*"
Mini,Cooper,Roadster S,2014,22K mi,"$17,998*"
Chevrolet,Corvette,Z06,2016,53K mi,"$60,998*"
Mazda,MX-5,Miata RF Grand Touring,2021,27K mi,"$27,998*"
Ford,Mustang,GT Premium,2024,2K mi,"$49,998*"
Chevrolet,Camaro,LS,2014,88K mi,"$16,998*"
Ford,Mustang,GT,2024,7K mi,"$40,998*"
Dodge,Challenger,SXT,2022,30K mi,"$26,998*"
Jaguar,XE,Premium,2017,41K mi,"$19,998*"
Mazda,MX-5,Miata Club,2023,4K mi,"$29,998*"
Mazda,MX-5,Miata Grand Touring,2019,30K mi,"$23,998*"
Dodge,Challenger,SXT,2022,48K mi,"$23,998*"
Dodge,Charger,SXT Plus,2018,31K mi,"$21,998*"
Nissan,370Z,,2019,15K mi,"$30,998*"
Chevrolet,Corvette,Stingray 3LT,2021,18K mi,"$68,998*"
Chevrolet,Corvette,Z06,2015,9K mi,"$68,998*"
Mazda,MX-5,Miata Launch Edition,2016,35K mi,"$24,998*"
Jaguar,XE,S,2020,35K mi,"$23,998*"
Nissan,370Z,Sport,2020,50K mi,"$28,998*"
Dodge,Challenger,SXT,2014,70K mi,"$17,998*"
Mini,Cooper,Roadster S,2015,36K mi,"$16,998*"
Mercedes-Benz,SLC300,,2018,44K mi,"$27,998*"
Dodge,Dart,SXT,2016,53K mi,"$13,998*"
Mazda,MX-5,Miata Sport,2020,18K mi,"$22,998*"
Chevrolet,SS,,2017,31K mi,"$44,998*"
Chevrolet,Corvette,Stingray,2014,23K mi,"$40,998*"
Dodge,Challenger,SXT,2022,46K mi,"$25,998*"
Mazda,MX-5,Miata Sport,2015,37K mi,"$18,998*"
Chevrolet,Corvette,Stingray Z51,2016,18K mi,"$47,998*"
Chevrolet,Camaro,LT,2020,56K mi,"$25,998*"
Toyota,86,,2019,39K mi,"$26,998*"
Dodge,Challenger,SXT,2022,39K mi,"$22,998*"
Chevrolet,Corvette,Stingray 2LT,2022,17K mi,"$70,998*"
Chevrolet,Corvette,Stingray,2016,8K mi,"$45,998*"
Dodge,Challenger,R/T Scat Pack Widebody,2022,12K mi,"$48,998*"
Smart,Fortwo,Pure,2014,77K mi,"$8,998*"
Dodge,Challenger,SXT,2013,96K mi,"$15,998*"
Mazda,MX-5,Miata Club,2021,23K mi,"$26,998*"
Mazda,MX-5,Miata RF Grand Touring,2023,5K mi,"$32,998*"
Ford,Mustang,Ecoboost Premium,2020,52K mi,"$19,998*"
Subaru,WRX,,2023,19K mi,"$28,998*"
Mazda,MX-5,Miata Club,2021,27K mi,"$24,998*"
Jaguar,F-Type,Premium,2017,43K mi,"$32,998*"
Dodge,Challenger,SXT,2019,90K mi,"$19,998*"
Acura,TLX,,2015,60K mi,"$19,998*"
Chevrolet,Corvette,Stingray Z51,2019,5K mi,"$58,998*"
Ford,Mustang,GT Premium,2017,79K mi,"$28,998*"
BMW,Z4,SDrive28i,2016,25K mi,"$26,998*"
Dodge,Challenger,SXT,2019,37K mi,"$22,998*"
Chevrolet,Camaro,2SS,2020,28K mi,"$41,998*"
Mazda,MX-5,Miata Grand Touring,2020,10K mi,"$26,998*"
Chevrolet,Corvette,Stingray,2018,48K mi,"$39,998*"
Jaguar,F-Type,S,2016,22K mi,"$31,998*"
Mazda,MX-5,Miata Grand Touring,2022,19K mi,"$26,998*"
Jaguar,F-Type,Checkered Flag,2020,35K mi,"$35,998*"
Audi,S6,Premium Plus,2020,33K mi,"$45,998*"
Mazda,MX-5,Miata Grand Touring,2022,3K mi,"$28,998*"
Chevrolet,Corvette,Stingray 2LT,2022,5K mi,"$71,998*"
Ford,Mustang,Ecoboost,2020,42K mi,"$24,998*"
Chevrolet,Camaro,SS,2018,80K mi,"$29,998*"
Chevrolet,Camaro,LT,2020,57K mi,"$25,998*"
Ford,Mustang,Ecoboost,2020,42K mi,"$23,998*"
Mazda,MX-5,Miata RF Grand Touring,2019,9K mi,"$28,998*"
Mazda,MX-5,Miata Grand Touring,2016,86K mi,"$17,998*"
Ford,Mustang,Ecoboost Premium,2021,4K mi,"$27,998*"
Ford,Mustang,,2016,86K mi,"$17,998*"
Chevrolet,Camaro,LT,2020,54K mi,"$25,998*"
Chevrolet,Camaro,SS,2020,4K mi,"$41,998*"
Mazda,MX-5,Miata RF Grand Touring,2019,18K mi,"$28,998*"
Jaguar,XE,R-Sport,2018,41K mi,"$24,998*"
BMW,Z4,sDrive30i,2022,29K mi,"$35,998*"
Chevrolet,Corvette,Stingray 1LT,2023,2K mi,"$67,998*"
Ford,Mustang,Ecoboost Premium,2020,15K mi,"$25,998*"
Chevrolet,Corvette,Stingray Z51,2017,22K mi,"$48,998*"
Mazda,MX-5,Miata Grand Touring,2016,37K mi,"$19,998*"
Volkswagen,Jetta,GLI Autobahn,2019,50K mi,"$22,998*"
Nissan,Z,Proto Spec,2023,19K mi,"$43,998*"
Mazda,MX-5,Miata Grand Touring,2023,4K mi,"$29,998*"
Ford,Mustang,Ecoboost,2020,17K mi,"$22,998*"
Ford,Mustang,Ecoboost Premium,2020,69K mi,"$18,998*"
Ford,Mustang,Ecoboost Premium,2020,10K mi,"$27,998*"
Mazda,MX-5,Miata Grand Touring,2022,4K mi,"$29,998*"
Dodge,Challenger,SXT Plus,2015,111K mi,"$17,998*"
Mazda,MX-5,Miata Grand Touring,2023,24K mi,"$27,998*"
Chevrolet,Corvette,Grand Sport,2019,23K mi,"$54,998*"
Jaguar,XE,S,2020,20K mi,"$22,998*"
Ford,Mustang,Ecoboost,2020,23K mi,"$24,998*"
Jaguar,F-Type,R,2017,42K mi,"$47,998*"
Ford,Mustang,Shelby GT350,2017,19K mi,"$53,998*"
Porsche,718,Boxster,2019,45K mi,"$44,998*"
Volkswagen,Jetta,GLI S,2019,52K mi,"$18,998*"
Chevrolet,Camaro,SS,2018,42K mi,"$34,998*"
Mercedes-Benz,SLK250,,2014,25K mi,"$22,998*"
Acura,TLX,A-Spec,2018,38K mi,"$25,998*"
Ford,Mustang,Ecoboost,2020,60K mi,"$22,998*"
Ford,Mustang,Ecoboost,2016,88K mi,"$17,998*"
Mazda,MX-5,Miata Club,2016,59K mi,"$19,998*"
Ford,Mustang,Ecoboost,2020,9K mi,"$24,998*"
Dodge,Challenger,SXT,2016,73K mi,"$18,998*"
Mazda,MX-5,Miata Grand Touring,2016,14K mi,"$19,998*"
Chevrolet,Corvette,Stingray 3LT,2020,13K mi,"$66,998*"
Subaru,WRX,Premium,2023,16K mi,"$31,998*"
BMW,M550,I xDrive,2020,56K mi,"$42,998*"
Dodge,Challenger,SXT,2019,48K mi,"$21,998*"
Toyota,Supra,2.0,2022,6K mi,"$43,998*"
Chevrolet,Camaro,LT,2018,69K mi,"$21,998*"
Audi,e-tron,GT Premium Plus,2023,25K mi,"$66,998*"
Chevrolet,Corvette,Stingray 2LT,2021,5K mi,"$71,998*"
Mazda,MX-5,Miata RF Grand Touring,2020,20K mi,"$29,998*"
Chevrolet,Corvette,Stingray 2LT,2022,43K mi,"$66,998*"
Dodge,Challenger,R/T Scat Pack Widebody,2023,2K mi,"$54,998*"
Audi,TT,,2021,14K mi,"$43,998*"
Ford,Mustang,Mach-E GT,2023,28K mi,"$36,998*"
Ford,Mustang,Ecoboost Premium,2023,22K mi,"$32,998*"
Ford,Mustang,Ecoboost Premium,2021,15K mi,"$31,998*"
BMW,Z4,sDrive30i,2019,12K mi,"$35,998*"
Audi,TT,,2015,51K mi,"$23,998*"
Ford,Mustang,GT Premium,2024,1K mi,"$50,998*"
Genesis,G80,Ultimate,2018,56K mi,"$27,998*"
Ford,Mustang,Ecoboost,2017,73K mi,"$21,998*"
Ford,Mustang,Ecoboost,2024,2K mi,"$36,998*"
Acura,TLX,,2016,100K mi,"$19,998*"
Chevrolet,Camaro,LT1,2023,16K mi,"$39,998*"
Ford,Mustang,Ecoboost,2020,7K mi,"$29,998*"
Chevrolet,Corvette,Stingray 1LT,2023,15K mi,"$67,998*"
Jaguar,F-Type,R-Dynamic,2021,10K mi,"$65,998*"
Chevrolet,Corvette,Grand Sport,2019,22K mi,"$59,998*"
Ford,Mustang,Ecoboost Premium,2023,37K mi,"$29,998*"
Dodge,Challenger,R/T,2022,2K mi,"$35,998*"
Toyota,Supra,3.0 Premium,2023,9K mi,"$58,998*"
Dodge,Challenger,R/T Plus,2017,28K mi,"$28,998*"
Ford,Mustang,Ecoboost Premium,2021,53K mi,"$24,998*"
Ford,Mustang,Ecoboost Premium,2024,3K mi,"$38,998*"
Mazda,MX-5,Miata Grand Touring,2020,19K mi,"$26,998*"
Mazda,MX-5,Miata Club,2016,48K mi,"$21,998*"
Jaguar,F-Type,Checkered Flag,2020,34K mi,"$35,998*"
Ford,Mustang,Ecoboost Premium,2019,38K mi,"$24,998*"
BMW,Z4,sDrive30i,2021,40K mi,"$35,998*"
